record_id,institution_id,year,rating,overall_score,student_satisfaction_pct,graduate_outcome_pct,attendance_rate_pct
234,78,2024,Silver,68,78.2,87.6,
235,79,2022,Silver,71,93.0,63.6,
236,79,2023,Gold,93,92.6,87.7,
237,79,2024,Silver,82,78.8,67.7,
238,80,2022,Bronze,53,82.9,61.3,
239,80,2023,Silver,84,70.8,67.1,
240,80,2024,Silver,73,77.1,88.9,
241,81,2022,Bronze,50,71.7,66.2,
242,81,2023,Silver,83,83.2,80.0,
243,81,2024,Gold,88,77.2,66.8,
244,82,2022,Silver,80,71.8,94.7,
245,82,2023,Silver,83,83.3,86.1,
246,82,2024,Silver,82,93.3,65.0,
247,83,2022,Gold,91,72.2,88.1,
248,83,2023,Silver,65,90.5,80.5,
249,83,2024,Silver,82,83.0,72.6,
250,84,2022,Silver,79,86.3,94.7,
251,84,2023,Silver,68,85.9,79.3,
252,84,2024,Gold,93,94.7,64.9,
253,85,2022,Silver,65,75.4,66.4,
254,85,2023,Silver,70,72.6,67.4,
255,85,2024,Silver,68,88.4,66.8,
256,86,2022,Bronze,63,79.0,64.9,
257,86,2023,Silver,78,79.0,66.0,
258,86,2024,Bronze,21,83.0,83.8,
259,87,2022,Silver,84,88.6,70.2,
260,87,2023,Silver,81,90.6,75.8,
261,87,2024,Silver,69,72.0,94.0,
262,88,2022,Bronze,63,73.7,84.7,
263,88,2023,Silver,80,78.8,71.1,
264,88,2024,Bronze,49,72.8,72.9,
265,89,2022,Bronze,34,83.0,68.3,
266,89,2023,Silver,76,70.1,73.7,
267,89,2024,Silver,77,81.1,73.6,
268,90,2022,Silver,74,71.6,90.1,
269,90,2023,Silver,72,90.3,80.2,
270,90,2024,Gold,88,87.1,78.5,
271,91,2022,Gold,90,70.2,88.2,
272,91,2023,Silver,83,93.3,92.0,
273,91,2024,Gold,86,70.4,68.4,
274,92,2022,Silver,74,85.0,68.8,
275,92,2023,Bronze,62,84.6,64.1,
276,92,2024,Silver,69,87.7,87.6,
277,93,2022,Gold,86,81.8,92.3,
278,93,2023,Silver,80,75.6,90.3,
279,93,2024,Silver,69,78.7,94.6,
280,94,2022,Silver,72,87.1,64.5,
281,94,2023,Silver,65,81.0,61.9,
282,94,2024,Gold,90,76.9,84.8,
283,95,2022,Silver,69,80.3,64.2,
284,95,2023,Silver,73,79.4,77.2,
285,95,2024,Silver,77,94.2,88.1,
286,96,2022,Silver,76,76.3,77.8,
287,96,2023,Silver,73,84.1,87.8,
288,96,2024,Gold,96,84.6,75.1,
289,97,2022,Silver,79,75.9,66.8,
290,97,2023,Silver,74,88.4,84.9,
291,97,2024,Bronze,47,91.0,64.6,
292,98,2022,Bronze,51,80.5,63.6,
293,98,2023,Silver,82,91.2,62.5,
294,98,2024,Silver,73,86.0,90.7,
295,99,2022,Silver,69,74.8,68.5,
296,99,2023,Silver,79,93.5,79.7,
297,99,2024,Gold,90,74.3,85.9,
298,100,2022,Silver,72,89.4,69.7,
299,100,2023,Silver,74,90.3,60.9,
300,100,2024,Bronze,49,73.2,73.2,
301,101,2022,Silver,76,95.0,80.0,
302,101,2023,Silver,77,86.1,63.8,
303,101,2024,Gold,93,92.9,68.7,
304,102,2022,Silver,69,72.7,71.0,
305,102,2023,Bronze,58,73.3,75.0,
306,102,2024,Silver,81,75.8,89.6,
307,103,2022,Silver,66,82.9,92.7,
308,103,2023,Silver,72,72.6,84.8,
309,103,2024,Silver,77,79.5,84.6,
310,104,2022,Bronze,45,74.6,73.9,
311,104,2023,Gold,90,87.2,66.9,
312,104,2024,Silver,69,87.3,87.4,
313,105,2022,Bronze,48,87.4,61.1,
314,105,2023,Silver,67,94.3,64.4,
315,105,2024,Silver,83,73.1,85.2,
316,106,2022,Silver,78,85.8,92.4,
317,106,2023,Silver,76,90.3,71.4,
318,106,2024,Silver,80,81.0,62.3,
319,107,2022,Silver,67,79.8,69.6,
320,107,2023,Silver,73,77.5,78.8,
321,107,2024,Silver,69,87.8,93.6,
322,108,2022,Gold,87,85.8,75.0,
323,108,2023,Bronze,62,85.7,74.0,
324,108,2024,Silver,77,91.3,82.0,
325,109,2022,Silver,76,71.0,72.4,
326,109,2023,Gold,98,88.7,92.0,
327,109,2024,Silver,72,79.6,71.1,
328,110,2022,Silver,70,82.7,65.1,
329,110,2023,Silver,66,73.6,88.6,
330,110,2024,Bronze,38,93.0,65.9,
331,111,2022,Bronze,55,84.7,62.8,
332,111,2023,Silver,83,90.3,92.6,
333,111,2024,Silver,75,89.4,76.1,
334,112,2022,Silver,77,73.1,65.1,
335,112,2023,Gold,87,71.7,62.2,
336,112,2024,Silver,81,87.6,69.4,
337,113,2022,Gold,92,76.9,79.5,
338,113,2023,Gold,89,72.5,63.7,
339,113,2024,Silver,81,75.6,81.0,
340,114,2022,Good,68,82.5,88.6,95.1
341,114,2023,Good,84,82.4,82.0,81.3
342,114,2024,Good,83,86.7,68.7,92.4
343,115,2022,Good,81,67.0,55.1,80.0
344,115,2023,Outstanding,92,83.4,56.4,80.8
345,115,2024,Good,80,86.4,83.7,84.0
346,116,2022,Outstanding,94,66.2,59.7,95.0
347,116,2023,Outstanding,88,86.2,84.8,91.9
348,116,2024,Good,75,72.9,58.0,90.6
349,117,2022,Good,83,90.2,62.7,85.8
350,117,2023,Requires Improvement,48,76.5,73.0,96.5
351,117,2024,Outstanding,95,90.2,81.8,81.9
352,118,2022,Good,70,74.4,56.3,85.9
353,118,2023,Good,75,78.8,74.1,84.0
354,118,2024,Good,70,79.2,55.2,96.4
355,119,2022,Good,79,74.7,59.0,91.0
356,119,2023,Requires Improvement,64,77.7,84.7,84.8
357,119,2024,Good,83,76.9,60.7,93.4
358,120,2022,Good,82,78.4,86.2,82.0
359,120,2023,Good,80,85.4,73.8,90.6
360,120,2024,Good,66,85.2,55.6,89.5
361,121,2022,Requires Improvement,57,90.5,69.0,86.1
362,121,2023,Good,66,84.9,60.1,87.0
363,121,2024,Good,81,84.7,86.9,87.7
364,122,2022,Good,72,73.4,64.4,83.8
365,122,2023,Good,74,83.2,79.4,90.1
366,122,2024,Good,82,90.8,64.3,85.5
367,123,2022,Good,71,74.8,84.3,87.5
368,123,2023,Good,71,72.4,56.1,92.6
369,123,2024,Good,69,86.7,77.6,95.9
370,124,2022,Outstanding,87,69.9,80.4,96.9
371,124,2023,Good,67,66.3,80.8,87.3
372,124,2024,Good,75,84.6,85.1,83.4
373,125,2022,Good,73,84.9,88.1,94.2
374,125,2023,Good,83,78.2,79.9,91.2
375,125,2024,Good,68,69.2,68.1,85.1
376,126,2022,Good,75,67.1,76.8,87.6
377,126,2023,Good,74,75.9,68.7,96.7
378,126,2024,Good,80,87.5,78.6,90.0
379,127,2022,Good,76,65.0,89.3,90.9
380,127,2023,Outstanding,98,90.5,58.6,81.1
381,127,2024,Outstanding,98,79.1,56.0,92.0
382,128,2022,Good,83,70.8,61.3,90.6
383,128,2023,Good,77,80.2,61.8,91.7
384,128,2024,Requires Improvement,45,70.9,65.1,84.0
385,129,2022,Good,78,83.9,73.9,92.2
386,129,2023,Good,69,83.0,85.3,92.2
387,129,2024,Outstanding,96,74.4,70.9,85.2
388,130,2022,Good,83,83.2,79.0,80.0
389,130,2023,Good,79,70.0,80.3,97.5
390,130,2024,Requires Improvement,54,85.4,76.2,89.0
391,131,2022,Good,76,90.5,61.4,89.2
392,131,2023,Outstanding,87,89.5,66.9,94.5
393,131,2024,Good,65,69.7,62.3,87.0
394,132,2022,Outstanding,93,66.1,72.1,95.3
395,132,2023,Good,68,86.2,78.6,82.7
396,132,2024,Good,83,87.4,71.0,83.8
397,133,2022,Good,80,74.0,60.4,90.5
398,133,2023,Good,78,65.3,88.4,83.2
399,133,2024,Good,65,90.0,83.0,89.5
400,134,2022,Good,68,73.8,84.0,85.4
401,134,2023,Good,75,90.9,67.3,92.6
402,134,2024,Good,76,86.8,58.3,92.5
403,135,2022,Good,65,67.4,69.6,93.5
404,135,2023,Good,84,71.3,88.1,89.3
405,135,2024,Outstanding,93,90.8,86.7,89.2
406,136,2022,Requires Improvement,47,87.0,69.4,90.5
407,136,2023,Good,74,67.0,71.4,86.7
408,136,2024,Inadequate,30,67.0,79.2,97.8
409,137,2022,Good,74,78.6,83.1,90.0
410,137,2023,Good,65,72.3,78.9,85.0
411,137,2024,Outstanding,85,88.6,89.9,86.1
412,138,2022,Good,76,66.0,56.9,86.7
413,138,2023,Good,66,66.7,79.3,93.8
414,138,2024,Outstanding,95,90.1,87.3,92.0
415,139,2022,Good,69,85.5,82.3,85.3
416,139,2023,Good,70,74.1,87.2,86.5
417,139,2024,Outstanding,92,78.7,68.3,88.8
418,140,2022,Outstanding,98,74.4,82.4,97.0
419,140,2023,Good,78,76.1,87.5,94.6
420,140,2024,Requires Improvement,56,81.5,68.6,94.0
421,141,2022,Requires Improvement,52,67.8,65.6,89.5
422,141,2023,Good,73,76.5,82.7,94.4
423,141,2024,Good,67,78.4,60.6,82.6
424,142,2022,Good,74,88.3,57.7,83.3
425,142,2023,Requires Improvement,45,72.9,77.1,91.4
426,142,2024,Good,79,84.8,74.8,85.1
427,143,2022,Good,67,90.4,79.4,88.3
428,143,2023,Good,82,69.9,55.2,97.8
429,143,2024,Outstanding,87,73.3,79.1,86.7
430,144,2022,Good,82,82.5,58.2,97.7
431,144,2023,Good,80,81.9,83.1,85.3
432,144,2024,Good,66,65.2,59.8,82.7
433,145,2022,Outstanding,98,89.8,81.3,93.3
434,145,2023,Good,68,75.3,88.6,95.2
435,145,2024,Outstanding,100,71.7,87.0,81.5
436,146,2022,Good,69,76.5,59.3,84.3
437,146,2023,Good,76,68.8,85.3,83.4
438,146,2024,Good,78,85.7,60.6,85.8
439,147,2022,Requires Improvement,62,85.0,80.8,92.1
440,147,2023,Good,82,73.5,63.8,82.4
441,147,2024,Good,81,84.7,69.6,82.6
442,148,2022,Good,66,74.5,72.0,83.3
443,148,2023,Good,74,67.4,67.2,95.3
444,148,2024,Good,66,87.6,80.2,83.1
445,149,2022,Outstanding,92,80.3,76.3,90.0
446,149,2023,Good,84,91.5,67.4,95.7
447,149,2024,Good,67,76.2,80.0,95.3
448,150,2022,Good,78,84.0,84.1,96.4
449,150,2023,Requires Improvement,59,86.8,76.5,93.8
450,150,2024,Outstanding,95,85.0,71.4,83.1
451,151,2022,Outstanding,87,79.1,68.2,81.4
452,151,2023,Good,77,79.7,85.7,91.7
453,151,2024,Good,80,69.7,88.5,92.0
454,152,2022,Outstanding,93,87.2,82.3,93.2
455,152,2023,Good,68,83.6,78.3,94.6
456,152,2024,Good,67,85.5,70.4,96.0
457,153,2022,Good,81,67.4,87.0,96.7
458,153,2023,Outstanding,86,88.4,59.2,94.0
459,153,2024,Outstanding,86,66.7,84.4,94.4
460,154,2022,Requires Improvement,49,79.4,83.2,88.7
461,154,2023,Good,72,70.6,55.7,83.0
462,154,2024,Requires Improvement,60,86.8,76.1,92.3
463,155,2022,Good,82,88.9,76.8,95.8
464,155,2023,Outstanding,97,71.0,59.0,83.5
465,155,2024,Good,71,86.2,61.9,96.3
466,156,2022,Good,71,67.6,81.4,84.5
467,156,2023,Good,77,81.4,69.1,87.2
468,156,2024,Good,73,76.2,58.5,80.8
469,157,2022,Good,84,82.2,60.4,91.3
470,157,2023,Good,69,65.6,85.2,96.4
471,157,2024,Requires Improvement,55,79.3,72.7,87.2
472,158,2022,Good,72,83.1,61.1,96.0
473,158,2023,Good,83,82.3,83.5,82.9
474,158,2024,Good,79,69.2,68.4,88.5
475,159,2022,Outstanding,95,74.5,67.8,86.6
476,159,2023,Inadequate,28,78.0,85.9,89.3
477,159,2024,Outstanding,85,69.4,88.7,89.7
478,160,2022,Requires Improvement,60,69.2,58.2,87.3
479,160,2023,Requires Improvement,63,72.4,85.9,90.8
480,160,2024,Good,74,71.2,78.9,94.0
481,161,2022,Good,80,77.6,73.9,83.5
482,161,2023,Good,71,72.3,70.6,97.9
483,161,2024,Outstanding,86,66.7,64.4,93.0
484,162,2022,Good,76,68.6,59.3,89.3
485,162,2023,Good,80,86.8,74.3,97.5
486,162,2024,Outstanding,98,77.2,77.0,87.0
487,163,2022,Requires Improvement,58,70.2,81.4,92.3
488,163,2023,Outstanding,87,83.8,78.1,87.3
489,163,2024,Good,65,76.6,61.1,90.4
490,164,2022,Outstanding,91,69.3,55.6,83.2
491,164,2023,Good,73,69.8,78.7,86.9
492,164,2024,Good,70,90.7,55.7,90.4
493,165,2022,Requires Improvement,63,71.6,87.7,96.6
494,165,2023,Good,79,75.3,68.2,83.2
495,165,2024,Good,81,77.6,77.8,84.7
496,166,2022,Good,80,66.2,86.4,84.6
497,166,2023,Good,65,87.6,72.5,87.7
498,166,2024,Outstanding,89,91.1,73.8,80.8
499,167,2022,Outstanding,95,73.2,63.9,83.7
500,167,2023,Good,78,69.5,57.4,91.4
501,167,2024,Good,72,65.1,86.4,80.4
502,168,2022,Requires Improvement,55,75.7,80.6,95.4
503,168,2023,Outstanding,92,68.8,63.9,93.0
504,168,2024,Good,70,66.9,84.5,97.0
505,169,2022,Outstanding,88,88.9,55.5,81.1
506,169,2023,Good,71,87.4,80.5,84.0
507,169,2024,Good,82,84.2,73.8,88.4
508,170,2022,Good,72,82.2,77.0,95.4
509,170,2023,Good,75,70.6,87.3,82.5
510,170,2024,Good,66,71.6,61.1,91.2
511,171,2022,Good,78,90.5,60.9,87.3
512,171,2023,Good,71,90.1,79.4,97.3
513,171,2024,Good,75,80.4,63.3,90.2
514,172,2022,Outstanding,90,84.3,78.9,80.1
515,172,2023,Good,68,66.4,55.8,83.1
516,172,2024,Good,70,74.9,82.5,84.9
517,173,2022,Good,69,65.6,72.4,83.1
518,173,2023,Good,65,79.9,88.6,86.9
519,173,2024,Good,78,68.4,58.1,96.0
520,174,2022,Outstanding,86,86.4,57.6,88.6
521,174,2023,Outstanding,95,87.4,66.9,95.3
522,174,2024,Good,80,80.8,86.4,85.2
523,175,2022,Outstanding,95,91.2,58.7,94.0
524,175,2023,Good,78,66.4,78.9,88.9
525,175,2024,Good,70,80.9,82.6,91.3
526,176,2022,Good,81,74.6,63.2,87.2
527,176,2023,Requires Improvement,63,65.1,57.4,88.6
528,176,2024,Good,65,84.4,83.6,96.0
529,177,2022,Good,72,66.8,60.0,91.4
530,177,2023,Outstanding,87,87.6,83.9,89.8
531,177,2024,Outstanding,93,91.8,71.8,93.8
532,178,2022,Outstanding,100,86.5,65.3,85.6
533,178,2023,Good,65,84.3,71.3,82.5
534,178,2024,Good,75,76.2,57.0,81.5
535,179,2022,Outstanding,96,67.4,62.8,89.0
536,179,2023,Good,67,85.8,70.0,86.1
537,179,2024,Good,67,76.6,82.5,84.6
538,180,2022,Good,73,84.5,64.5,84.5
539,180,2023,Good,67,84.7,69.7,84.5
540,180,2024,Good,74,69.8,70.9,94.8
541,181,2022,Good,76,71.2,59.9,83.4
542,181,2023,Outstanding,93,79.9,65.5,84.9
543,181,2024,Good,73,75.6,59.9,92.4
544,182,2022,Good,77,81.9,83.1,96.9
545,182,2023,Good,82,91.0,75.7,94.0
546,182,2024,Good,69,66.6,88.7,96.1
547,183,2022,Good,69,90.2,63.9,85.3
548,183,2023,Good,68,76.5,61.4,89.4
549,183,2024,Good,69,77.1,63.7,90.3
550,184,2022,Good,69,71.9,64.1,87.2
551,184,2023,Outstanding,86,73.3,86.8,91.2
552,184,2024,Good,78,73.4,55.3,89.9
553,185,2022,Good,80,91.9,63.2,85.0
554,185,2023,Outstanding,95,87.0,87.6,94.2
555,185,2024,Requires Improvement,58,86.8,86.5,97.9
556,186,2022,Requires Improvement,57,85.6,57.6,86.5
557,186,2023,Requires Improvement,57,83.8,62.8,80.2
558,186,2024,Good,69,68.5,82.3,84.2
559,187,2022,Good,65,86.3,61.9,95.1
560,187,2023,Good,75,76.4,75.5,92.2
561,187,2024,Good,81,70.5,63.6,96.6
562,188,2022,Outstanding,87,88.2,68.8,92.3
563,188,2023,Good,78,91.9,68.7,87.5
564,188,2024,Requires Improvement,47,67.4,82.3,92.3
565,189,2022,Good,68,73.6,69.9,84.2
566,189,2023,Good,79,75.6,80.5,94.5
567,189,2024,Outstanding,87,82.2,70.3,94.2
568,190,2022,Good,71,71.9,80.1,81.2
569,190,2023,Good,74,87.4,59.0,97.9
570,190,2024,Outstanding,85,67.8,86.0,89.8
571,191,2022,Outstanding,96,,,93.7
572,191,2023,Outstanding,100,,,85.1
573,191,2024,Good,80,,,92.4
574,192,2022,Good,73,,,98.0
575,192,2023,Outstanding,99,,,94.1
576,192,2024,Good,78,,,86.3
577,193,2022,Requires Improvement,63,,,96.4
578,193,2023,Good,65,,,88.2
579,193,2024,Good,84,,,85.3
580,194,2022,Good,68,,,93.4
581,194,2023,Inadequate,35,,,89.4
582,194,2024,Good,81,,,96.8
583,195,2022,Good,72,,,94.2
584,195,2023,Good,66,,,95.5
585,195,2024,Good,69,,,89.8
586,196,2022,Requires Improvement,57,,,88.6
587,196,2023,Good,68,,,92.1
588,196,2024,Good,80,,,98.4
589,197,2022,Good,70,,,96.2
590,197,2023,Inadequate,42,,,96.6
591,197,2024,Good,73,,,94.7
592,198,2022,Outstanding,94,,,87.0
593,198,2023,Good,82,,,97.4
594,198,2024,Outstanding,96,,,85.7
595,199,2022,Outstanding,88,,,94.9
596,199,2023,Good,69,,,85.1
597,199,2024,Good,67,,,90.9
598,200,2022,Requires Improvement,63,,,90.4
599,200,2023,Good,75,,,88.1
